Name,Latitude,Longitude,Sample Date,Source,4-Chlorophenyl ether,Air Temperature (°C) [°C],"Alkalinity, total",Aluminum,Ammonia,Ammonia (mg/L),Ammonia-nitrogen,Arsenic,Atrazine,Barium,Beryllium,Bicarbonate,"Biochemical oxygen demand, standard conditions",Boron,Bromide,Cadmium,Calcium,Carbon,Carbon dioxide,Chemical oxygen demand,Chloride,Chlorine,Chloroform,Chlorophyll,Chlorophyll a,"Chlorophyll a, uncorrected for pheophytin",Chromium,Cobalt,Color,Conductivity,Conductivity (uS/cm),Copper,Count,Cylindrospermopsin,DO (mg/L) ,Days Since Rain,Depth,"Depth, Secchi disk depth",Dissolved Oxygent (mg/L),Dissolved oxygen (DO),Dissolved oxygen saturation,E. Coli Average,E. coli (MPN/100 mL),Escherichia coli,Extract volume,Fecal Coliform,Fixed suspended solids,Flow,Flow (CFS),Flow Meas. Method,Flow Severity,Fluoride,Gran acid neutralizing capacity,"Hardness, Ca, Mg","Hardness, magnesium","Hydrocarbons, petroleum",Iron,Kjeldahl nitrogen,Lead,Lithium,Magnesium,Manganese,Mercury,Methylmercury(1+),Microcystins,Moisture content,Molybdenum,Nickel,Nitrate,Nitrate (mg/L),Nitrate + Nitrite,Nitrate-Nitrogen (ppm or mg/L),Nitrite,Nitrogen,Organic carbon,Orthophosphate,Oxidation reduction potential (ORP),Oxygen,Particle distribution,Particle size,Pheophytin a,Phosphorus,Phytoplankton Density,Phytoplankton biovolume,Polychlorinated biphenyls,Potassium,Precipitation,"Precipitation, time since event",RBP Stream width,Rainfall Total (inches in last 3 days),River/stream channel slope,Sample Depth (m) ,Sand,Sea waves severity (choice list),Secchi Disc Transparency (m),Selenium,Silica,Silver,Sodium,Sodium adsorption ratio [(Na),"Specific Conductance, Calculated/Measured Ratio",Specific conductance,Streptococcus,Strontium,Sulfate,Sulfur Sulfate,Suspended Sediment Concentration (SSC) ,TCEQ Stream Segment,TDS,TKN (mg/L),Temperature (°C),"Temperature, air","Temperature, sample","Temperature, water",Total Coliform,"Total Nitrogen, mixed forms",Total P (mg/L),"Total Phosphorus, mixed forms",Total Sample Weight,Total Suspended Solids (mg/L),Total Suspended Solids (µg/L),Total dissolved solids,Total solids,Total suspended solids,Total volatile solids,Transparency Tube (m),"Transparency, Secchi tube with disk",True color,Turbidity,Velocity - stream,Water Temperature (°C),Weather condition (WMO code 4501) ,Width,Zinc,"p,p'-DDE",pH
15,30.2912,-98.384,12/7/1995,Meadows,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,1414,,,,,,,,,,,,,,,,,,,,,,,20,,,,,8.2
15,30.2912,-98.384,1/12/1996,Meadows,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,0,,,-2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1414,,,,,,,,,,,,,,,,,,,,,,,18,,,,,8.1
15,30.2912,-98.384,1/24/1996,Meadows,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1414,,,,,,,,,,,,,,,,,,,,,,,13,,,,,8.2
15,30.2912,-98.384,2/14/1996,Meadows,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1414,,,,,,,,,,,,,,,,,,,,,,,16,,,,,
15,30.2912,-98.384,4/4/1996,Meadows,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1414,,,,,,,,,,,,,,,,,,,,,,,20,,,,,8.2
15,30.2912,-98.384,9/19/1996,Meadows,,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1414,,,,,,,,,,,,,,,,,,,,,,,24.7,,,,,7.9
15,30.2912,-98.384,9/25/1996,Meadows,,27.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,1414,,,,,,,,,,,,,,,,,,,,,,,28.5,,,,,8.1
15,30.2912,-98.384,10/1/1996,Meadows,,18.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1414,,,,,,,,,,,,,,,,,,,,,,,24.4,,,,,8.2
15,30.2912,-98.384,10/9/1996,Meadows,,30.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1414,,,,,,,,,,,,,,,,,,,,,,,27.6,,,,,8.1
15,30.2912,-98.384,10/17/1996,Meadows,,31.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1414,,,,,,,,,,,,,,,,,,,,,,,25.2,,,,,8.6
15,30.2912,-98.384,10/25/1996,Meadows,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,1414,,,,,,,,,,,,,,,,,,,,,,,21,,,,,8.3
15,30.2912,-98.384,11/8/1996,Meadows,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1414,,,,,,,,,,,,,,,,,,,,,,,16,,,,,8.1
15,30.2912,-98.384,11/14/1996,Meadows,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1414,,,,,,,,,,,,,,,,,,,,,,,20,,,,,8.6
